"ID","category","fuel","scientific_name","states"
428,"Tree","Olive, Russian","Elaeagnus angustifolia","AZ, CO, CT, IA, ID, IL, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WY, CA"
429,"Tree","Osage Orange","Maclura pomifera","AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NE, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, CA"
430,"Tree","Palm, California Fan","Washingtonia filifera","AZ, FL, NV, CA"
431,"Tree","Palmetto, Cabbage","Sabal palmetto","AL, FL, GA, LA, MS, NC, SC"
432,"Tree","Palmetto, Saw","Serenoa repens","AL, FL, GA, LA, MS, SC, TX"
433,"Tree","Pecan","Carya illinoiensis","AL, AR, FL, GA, IA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OH, OK, SC, TN, TX, VA"
434,"Tree","Pine, Apache","Pinus engelmannii","AZ, NM"
435,"Tree","Pine, Arizona","Pinus ponderosa var. arizonica","AZ"
436,"Tree","Pine, Austrian","Pinus nigra","IL, MA, ME, MI, MO, NJ, NY, OH, PA"
437,"Tree","Pine, Beach","Pinus contorta var. contorta","AK, OR, WA"
438,"Tree","Pine, Bishop","Pinus muricata","CA"
439,"Tree","Pine, Bristlecone","Pinus aristata","AZ, CO, NM"
440,"Tree","Pine, California Foothill","Pinus sabiniana","OR, CA"
441,"Tree","Pine, Chihuahuan","Pinus leiophylla var. chihuahuana","AZ, NM"
442,"Tree","Pine, Coulter","Pinus coulteri","CA"
443,"Tree","Pine, Eastern White","Pinus strobus","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
444,"Tree","Pine, Foxtail","Pinus balfouriana","CA"
445,"Tree","Pine, Great Basin Bristlecone","Pinus longaeva","NV, UT, CA"
446,"Tree","Pine, Interior Ponderosa","Pinus ponderosa var. scopulorum","AZ, CO, ID, MT, ND, NE, NM, NV, OK, SD, TX, UT, WY"
447,"Tree","Pine, Jack","Pinus banksiana","IL, IN, MA, ME, MI, MN, MO, ND, NH, NY, OH, PA, RI, VT, WI, WV"
448,"Tree","Pine, Japanese Black","Pinus thunbergii Parl.","DE, MA, NC, NJ, NY, SC, VA"
449,"Tree","Pine, Knobcone","Pinus attenuata","OR, CA"
450,"Tree","Pine, Limber","Pinus flexilis","AZ, CO, ID, MT, ND, NE, NM, NV, OR, SD, UT, WY, CA"
451,"Tree","Pine, Loblolly","Pinus taeda","AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, OK, SC, TN, TX, VA"
452,"Tree","Pine, Lodgepole","Pinus contorta","AK, CO, ID, MT, NV, OR, SD, UT, WA, WY, CA"
453,"Tree","Pine, Longleaf","Pinus palustris","AL, AR, FL, GA, LA, MS, NC, SC, TX, VA"
454,"Tree","Pinyon, Mexican","Pinus cembroides","NM, TX"
455,"Tree","Pine, Monterey","Pinus radiata","CA"
456,"Tree","Pine, Pacific Ponderosa","Pinus ponderosa var. ponderosa","NV, OR, WA, CA"
457,"Tree","Pine, Pitch","Pinus rigida","CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MN, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV"
458,"Tree","Pine, Pond","Pinus serotina","AL, DE, FL, GA, MD, NC, NJ, SC, VA"
459,"Tree","Pine, Ponderosa","Pinus ponderosa","AZ, CA, CO, ID, MT, NC, NE, NM, NV, OK, OR, SC, TX, UT, WA, WY"
460,"Tree","Pine, Red","Pinus resinosa","CT, IL, IN, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, PA, RI, VA, VT, WI, WV"
461,"Tree","Pine, Rocky Mountain Lodgepole","Pinus contorta var. latifolia","AK, CO, ID, MT, OR, SD, UT, WA, WY"
462,"Tree","Pine, Sand","Pinus clausa","AL, FL, GA, MS, NC"
463,"Tree","Pine, Scots","Pinus sylvestris","CT, DE, IA, IL, IN, MA, MD, ME, MI, MN, NH, NJ, NY, OH, PA, RI, VT, WI"
464,"Tree","Pine, Shortleaf","Pinus echinata","AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV"
465,"Tree","Pine, Sierra Lodgepole","Pinus contorta var. murrayana","NV, OR, WA, CA"
466,"Tree","Pine, Slash","Pinus elliotti","AL, FL, GA, LA, MS, NC, SC, TX"
467,"Tree","Pine, Southwestern White","Pinus strobiformis","AZ, CO, NM, TX"
468,"Tree","Pine, Spruce","Pinus glabra","AL, DC, FL, GA, LA, MS, SC"
469,"Tree","Pine, Sugar","Pinus lambertiana","NV, OR, CA"
470,"Tree","Pine, Table Mountain","Pinus pungens","DC, GA, IL, MD, NC, NJ, PA, SC, TN, VA, WV"
471,"Tree","Pine, Torrey","Pinus torreyana","CA"
472,"Tree","Pine, Virginia","Pinus virginiana","AL, DC, DE, GA, IL, IN, KY, MD, MO, MS, NC, NJ, NY, OH, PA, SC, TN, VA, WV"
473,"Tree","Pine, Washoe","Pinus washoensis","NV, OR, CA"
474,"Tree","Pine, Western White","Pinus monticola","ID, MT, NV, OR, UT, WA, CA"
475,"Tree","Pine, Whitebark","Pinus albicaulis","ID, MT, NV, OR, WA, WY, CA"
476,"Tree","Pine, Yew Plum","Podocarpus macrophyllus","FL, PR"
477,"Grass","Pinegrass","Calamagrostic rubescens","CA, CO, ID, MT, NV, OR, UT, WA, WY"
478,"Grass","Pinegrass, Purple","Calamagrostis purpurascens","AK, CO, ID, MN, MT, NM, NV, OR, SD, UT, WA, WY, CA"
479,"Tree","Pinyon, Parry","Pinus quadrifolia","CA"
480,"Tree","Pinyon, Singleleaf","Pinus monophylla","AZ, ID, NM, NV, UT, CA"
481,"Tree","Pinyon, Twoneedle","Pinus edulis","AZ, CO, NM, NV, OK, TX, UT, WY, CA"
482,"Tree","Plum, American","Prunus americana","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY"
483,"Grass","Plumegrass, Sugarcane","Saccharum giganteum","AL, AR, DC, DE, FL, GA, IL, KY, LA, MD, MO, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA"
484,"Forb","Pokeweed, American","Phytolacca americana","AL, AR, AZ, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV, CA"
485,"Tree","Poplar, Balsam","Populus balsamifera","AK, CO, CT, DC, DE, IA, ID, IL, IN, MA, MD, ME, MI, MN, MT, ND, NH, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY, CA"
486,"Tree","Poplar, Lombardy","Populus nigra","AL, AR, AZ, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
487,"Tree","Poplar, White","Populus alba","AL, AR, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
488,"Grass","Porcupinegrass","Hesperostipa spartea","CO, IA, IL, IN, KS, MI, MN, MO, MT, ND, NE, NM, OH, OK, PA, SD, WI, WY"
489,"Grass","Prairie Dropseed","Sporobolus heterolepis","AR, CO, CT, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, ND, NE, NM, NY, OH, OK, PA, SD, VA, WI, WY"
490,"Grass","Prairie Sandreed","Calamovilfa longifolia","CO, IA, ID, IL, IN, KS, MI, MN, MO, MT, ND, NE, NM, NY, OH, PA, SD, WA, WI, WY"
491,"Shrub","Privet, European","Ligustrum vulgare","AL, AR, CO, CT, DC, DE, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MT, NC, NE, NH, NJ, NM, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WI, WV"
492,"Grass","Quackgrass","Elymus repens","AK, AR, AZ, CO, CT, DC, DE, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
493,"Shrub","Rabbitbrush, Rubber","Ericameria nauseosa","AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, NY, OK, OR, SD, TX, UT, WA, WY"
494,"Forb","Ragweed, Western","Ambrosia psilostachya","AL, AR, AZ, CO, CT, FL, GA, IA, ID, IL, IN, KS, LA, MA, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VT, WA, WI, WY, CA"
495,"Tree","Red Shank","Adenostoma sparsifolium","CA"
496,"Tree","Redbay","Persea borbonia (L.) Spreng.","AL, AR, FL, GA, LA, MS, NC, SC, TX"
497,"Tree","Redbud, California","Cercis orbiculata","AZ, NV, UT, CA"
498,"Tree","Redbud, Texas","Cercis canadensis var. texensis","OK, TX"
499,"Tree","Redcedar, Eastern","Juniperus virginiana","AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV"
500,"Tree","Redcedar, Southern","Juniperus virginiana","AL, FL, GA, LA, MS, NC, SC"
501,"Tree","Redcedar, Western","Thuja plicata","AK, ID, MT, OR, WA, CA"
502,"Tree","Redwood","Sequoia sempervirens","OR, CA"
503,"Shrub","Reed, Common","Phragmites australis","AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, PR, CA"
504,"Grass","Reedgrass, Arctic","Calamagrostis coarctata","AL, CT, DC, DE, GA, KY, LA, MA, MD, ME, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, WV"
505,"Grass","Reedgrass, Bluejoint","Calamagrostis canadensis","AK, AZ, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY, CA"
506,"Grass","Reedgrass, Northern","Calamagrostis stricta ssp. inexpansa","AK, AZ, CO, CT, IA, ID, IL, IN, KS, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY, CA"
507,"Grass","Reedgrass, Plains","Calamagrostis montanensis","CO, ID, MN, MT, ND, SD, WY"
508,"Grass","Reedgrass, Shorthair","Calamagrostis breweri","OR, CA"
509,"Grass","Reedgrass, Slimstem","Calamagrostis stricta ssp. stricta","AK, AZ, CO, ID, IL, ME, MI, MN, MT, ND, NH, NV, NY, OR, SD, UT, WA, WI, WV, WY, CA"
510,"Grass","Rescuegrass","Bromus catharticus","AL, AR, AZ, CO, DC, FL, GA, HI, IA, IL, KS, KY, LA, MD, MO, MS, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, SC, SD, TN, TX, UT, VA, CA"
511,"Tree","Rhododendron, Pacific","Rhododendron macrophyllum","OR, WA"
512,"Grass","Rush, Chestnut","Juncus castaneus","AK, CO, MT, NM, NV, UT, WY"
513,"Grass","Rush, Needlegrass","Juncus roemerianus","AL, DE, FL, GA, LA, MD, MS, NC, SC, TX, VA"
514,"Grass","Ryegrass, Italian","Lolium perenne ssp. multiflorum","AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
515,"Shrub","Sage, Black","Salvia mellifera","CA"
516,"Shrub","Sage, Purple","Salvia dorrii","AZ, ID, NV, OR, UT, WA, CA"
517,"Tree","Sagebrush, Basin Big","Artemisia tridentata","AZ, CO, ID, MA, MT, NM, NV, OR, UT, WA, WY, CA"
518,"Shrub","Sagebrush, Bigelows","Artemisia bigelovii","AZ, CO, NM, NV, TX, UT,CA"
519,"Shrub","Sagebrush, Birdfoot","Artemisia pedatifida","CO, ID, MT, WY"
520,"Shrub","Sagebrush, Black","Artemisia nova","AZ, CO, ID, MT, NM, NV, OR, UT, WY, CA"
521,"Shrub","Sagebrush, Boreal","Artemisia norvegica","AK, CA, CO, MT, UT, WA, WY"
522,"Shrub","Sagebrush, Bud","Picrothamnus desertorum","AZ, CO, ID, MT, NM, NV, OR, UT, WY, CA"
523,"Shrub","Sagebrush, California","Artemisia californica","CA"
524,"Shrub","Sagebrush, Fuzzy","Artemisia papposa","ID, NV, OR"
525,"Shrub","Sagebrush, Little","Artemisia arbuscula","CO, ID, MT, NM, NV, OR, UT, WA, WY, CA"
526,"Tree","Sagebrush, Mountain Big","Artemisia tridentata ssp. vaseyana","CO, ID, MT, ND, NE, NV, OR, SD, UT, WA, WY, CA"
527,"Shrub","Sagebrush, Pygmy","Artemisia pygmaea","AZ, CO, NM, NV, UT"
528,"Shrub","Sagebrush, Sand","Artemisia filifolia","AZ, CO, CT, KS, NE, NM, NV, NY, OK, SD, TX, UT, WY"
529,"Shrub","Sagebrush, Scabland","Artemisia rigida","ID, MT, OR, WA"
530,"Shrub","Sagebrush, Silver","Artemisia cana","AK, AZ, CO, ID, MN, MT, ND, NE, NM, NV, OR, SD, UT, WY, CA"
531,"Shrub","Sagebrush, Threetip","Artemisia tripartita","CO, ID, MT, NV, NY, OR, UT, WA, WY"
532,"Shrub","Sagebrush, White","Artemisia ludoviciana","AR, AZ, CO, CT, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WY, CA"
533,"Tree","Sagebrush, Wyoming Big","Artemisia tridentata ssp. wyomingensis","AZ, CO, ID, MT, ND, NE, NM, NV, OR, SD, UT, WY, CA"
534,"Forb","Sagewort, Field","Artemisia campestris","AK, AL, AZ, CO, CT, FL, IA, ID, IL, IN, KS, MA, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TX, UT, VA, VT, WA, WI, WY, CA"
535,"Shrub","Sagewort, Prairie","Artemisia frigida","AK, AZ, CO, CT, IA, ID, IL, KS, MA, MI, MN, MO, MT, ND, NE, NJ, NM, NV, NY, PA, SD, TX, UT, VT, WA, WI, WY"
536,"Tree","Saguaro","Carnegiea gigantea","AZ, CA"
537,"Shrub","Saltbush, Fourwing","Atriplex canescens","AZ, CO, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY, CA"
538,"Grass","Sawgrass, Jamaica Swamp","Cladium mariscus ssp. jamaicense","AL, AR, FL, GA, HI, LA, MS, NC, NM, SC, TX, VA, PR"
539,"Grass","Sedge Woodrush","Carex luzulina","ID, MT, NV, OR, UT, WA, WY"
540,"Grass","Sedge, Analogue","Carex simulata","AZ, CO, ID, MT, ND, NM, NV, OR, UT, WA, WY, CA"
541,"Grass","Sedge, Awlfruit","Carex stipata","AK, AL, AZ, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY, CA"
542,"Grass","Sedge, Baileys","Carex baileyi","AR, CT, IL, KY, MA, MD, ME, NC, NH, NY, PA, TN, VA, VT, WV"
543,"Grass","Sedge, Beaked","Carex rostrata","AK, ID, IL, MI, MN, MT, WA, WI"
544,"Grass","Sedge, Bebb","Carex bebbii","AK, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY"
545,"Grass","Sedge, Bicknell","Carex bicknellii","CT, DE, IA, IL, IN, KS, MA, ME, MI, MN, MO, ND, NE, NH, NJ, NY, OH, PA, RI, SC, SD, VT, WI"
546,"Grass","Sedge, Bigelows","Carex bigelowii","AK, CO, ID, ME, MT, NH, NY, VT, WY"
547,"Grass","Sedge, Blister","Carex vesicaria","AZ, CO, CT, DE, IA, ID, IL, IN, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY, CA"
548,"Grass","Sedge, Blunt Broom","Carex tribuloides","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV"
549,"Grass","Sedge, Bristlystalked","Carex leptalea","AK, AL, AR, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY, CA"
550,"Grass","Sedge, Broom","Carex scoparia","AL, AR, AZ, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, CA"
551,"Grass","Sedge, Bur-Reed","Carex sparganioides","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NE, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WI, WV"
552,"Grass","Sedge, Bushs","Carex bushii","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV"
553,"Grass","Sedge, Capitate","Carex capitata","AK, CO, ID, MT, NH, NV, OR, UT, WA, WY, CA"
554,"Grass","Sedge, Cattail","Carex typhina","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, VT, WI, WV"
555,"Grass","Sedge, Chamisso","Carex pachystachya","AK, CO, ID, MT, NV, OR, UT, WA, WY, CA"
556,"Grass","Sedge, Clustered Field","Carex praegracilis","AK, AZ, CO, IA, ID, IL, IN, KS, KY, ME, MI, MN, MO, MT, ND, NE, NM, NV, NY, OH, OK, OR, PA, SD, UT, VA, VT, WA, WI, WY, CA"
557,"Grass","Sedge, Columbian","Carex aperta","ID, MT, OR, WA"
558,"Grass","Sedge, Creeping","Carex chordorrhiza","AK, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NH, NY, OR, PA, VT, WA, WI"
559,"Grass","Sedge, Crested","Carex cristatella","CT, DC, DE, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SD, TN, VA, VT, WI, WV"
560,"Grass","Sedge, Cypressknee","Carex decomposita","AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MI, MO, MS, NC, NY, OH, OK, SC, TN, TX, VA"
561,"Grass","Sedge, Deweys","Carex deweyana","AK, CO, CT, IA, ID, IL, MA, ME, MI, MN, MT, ND, NH, NJ, NM, NV, NY, OH, PA, RI, SD, UT, VT, WA, WI, WY"
562,"Grass","Sedge, Douglass","Carex douglasii","AZ, CO, IA, ID, MO, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY, CA"
563,"Grass","Sedge, Eastern Straw","Carex straminea","CT, DE, IL, IN, KY, MA, MD, MI, MO, NC, NJ, NY, OH, PA, RI, VA, WI, WV"
564,"Grass","Sedge, Eastern Woodland","Carex blanda","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY"
565,"Grass","Sedge, Elk","Carex garberi","AK, IL, IN, ME, MI, MN, MT, ND, NH, NY, OH, OR, PA, VT, WA, WI, WY, CA"
566,"Grass","Sedge, Enander","Carex lenticularis var. dolia","AK, MT"
567,"Grass","Sedge, Franks","Carex frankii","AL, AR, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, WV"
568,"Grass","Sedge, Geyers","Carex geyeri","CA, CO, ID, MT, NM, NV, OR, PA, UT, WA, WY"
569,"Grass","Sedge, Graceful","Carex gracillima","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, NC, ND, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
570,"Grass","Sedge, Grays","Carex grayi","AL, AR, CT, FL, GA, IA, IL, IN, KS, KY, MA, MD, MI, MN, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, VA, VT, WI, WV"
571,"Grass","Sedge, Greater Bladder","Carex intumescens","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, WY"
572,"Grass","Sedge, Greater Straw","Carex normalis","AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
573,"Grass","Sedge, Hair-Like","Carex capillaris","AK, CO, ID, ME, MI, MN, MT, ND, NH, NM, NV, NY, OR, SD, UT, VT, WA, WI, WY"
574,"Grass","Sedge, Hairy","Carex lacustris","CT, DC, DE, IA, ID, IL, IN, KS, MA, MD, ME, MI, MN, MO, ND, NE, NH, NJ, NY, OH, PA, RI, SD, TN, VA, VT, WI, WV"
575,"Grass","Sedge, Hairyfruit","Carex trichocarpa","CT, DE, IA, IL, IN, MA, MD, MI, MN, MO, NC, NH, NJ, NY, OH, PA, VA, VT, WI, WV"
576,"Grass","Sedge, Halls","Carex halliana","OR, WA, CA"
577,"Grass","Sedge, Hendersons","Carex hendersonii","ID, OR, WA"
578,"Grass","Sedge, Inland","Carex interior","AK, AR, AZ, CO, CT, IA, ID, IL, IN, KS, MA, MD, ME, MI, MN, MO, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY, CA"
579,"Grass","Sedge, Kelloggs","Carex lenticularis var. lipocarpa","AK, AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY"
580,"Grass","Sedge, Limestone Meadow","Carex granularis","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV, WY"
581,"Grass","Sedge, Longhair","Carex comosa","AL, AR, CT, DC, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV"
582,"Grass","Sedge, Mountain","Carex scopulorum","AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY, CA"
583,"Grass","Sedge, Mud","Carex limosa","AK, CO, CT, DE, IA, ID, IL, IN, MA, ME, MI, MN, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, UT, VT, WA, WI, WY, CA"
584,"Grass","Sedge, Muskingum","Carex muskingumensis","AR, IA, IL, IN, KS, KY, MI, MN, MO, OH, OK, TN, WI"
585,"Grass","Sedge, Nebraska","Carex nebrascensis","AZ, CO, ID, IL, KS, MO, MT, ND, NE, NM, NV, OR, PA, SD, UT, WA, WI, WY, CA"
586,"Grass","Sedge, Necklace","Carex projecta","CT, GA, IA, IL, IN, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, SC, TN, VA, VT, WA, WI, WV"
587,"Grass","Sedge, Nerveless Woodland","Carex leptonervia","CT, IN, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV"
588,"Grass","Sedge, Northern Singlespike","Carex scirpoidea","AK, CO, ID, ME, MI, MN, MT, ND, NH, NV, NY, OR, UT, VT, WA, WY, CA"
589,"Grass","Sedge, Northwest Territory","Carex utriculata","AK, CO, CT, DC, DE, IA, IL, IN, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OR, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY, CA"
590,"Grass","Sedge, Oval-Leaf","Carex cephalophora","AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV, CA"
591,"Grass","Sedge, Pennsylvania","Carex pensylvanica","AL, AR, CT, DC, DE, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WI, WV)"
592,"Grass","Sedge, Prickly Bog","Carex atlantica","AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV"
593,"Grass","Sedge, Ramensks","Carex ramenskii","AK"
594,"Grass","Sedge, Ravenfoot","Carex crus-corvi","AL, AR, FL, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, NC, NE, OH, OK, SC, TN, TX, VA, WI"
595,"Grass","Sedge, Raynolds","Carex raynoldsii","CO, ID, MT, NV, OR, UT, WA, WY, CA"
596,"Grass","Sedge, Rock","Carex saxatilis","AK, CO, ID, ME, MT, OR, UT, WA, WY"
597,"Grass","Sedge, Rockdwelling","Carex petricosa","AK, MT"
598,"Grass","Sedge, Rough Eastern","Carex scabrata","AL, CT, DE, GA, IN, KY, MA, MD, ME, MI, MO, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV"
599,"Grass","Sedge, Sheathed","Carex vaginata","AK, ME, MI, MN, MT, NY, VT, WI"
600,"Grass","Sedge, Shoreline","Carex hyalinolepis","AL, AR, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, VA"
601,"Grass","Sedge, Shorthair","Carex exserta","NV, OR, CA"
